Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Construct the Lexicographically Largest Valid Sequence,1718,Medium,"Array, Backtracking","Facebook, Salesforce",https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence,27673,15028
Number Of Ways To Reconstruct A Tree,1719,Hard,"Graph, Tree",Uber,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree,11020,4894
Decode XORed Array,1720,Easy,"Array, Bit Manipulation",Google,https://leetcode.com/problems/decode-xored-array,188205,163097
Swapping Nodes in a Linked List,1721,Medium,"Linked List, Two Pointers","Amazon, Bloomberg, Facebook",https://leetcode.com/problems/swapping-nodes-in-a-linked-list,533379,363326
Minimize Hamming Distance After Swap Operations,1722,Medium,"Array, Depth-First Search, Union Find",Google,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations,38707,18955
Find Minimum Time to Finish All Jobs,1723,Hard,"Array, Backtracking, Bit Manipulation, Bitmask, Dynamic Programming","Adobe, Amazon, PhonePe",https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,69953,29943
Checking Existence of Edge Length Limited Paths II,1724,Hard,"Graph, Minimum Spanning Tree, Union Find",Google,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii,6201,3155
Number Of Rectangles That Can Form The Largest Square,1725,Easy,Array,"Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square,95490,75366
Tuple with Same Product,1726,Medium,"Array, Counting, Hash Table",Google,https://leetcode.com/problems/tuple-with-same-product,48222,29581
Largest Submatrix With Rearrangements,1727,Medium,"Array, Greedy, Matrix, Sorting","Directi, Google",https://leetcode.com/problems/largest-submatrix-with-rearrangements,98106,73914
Cat and Mouse II,1728,Hard,"Array, Dynamic Programming, Game Theory, Graph, Math, Matrix, Memoization, Topological Sort",Google,https://leetcode.com/problems/cat-and-mouse-ii,19018,7581
